month,yield,yield_source,proxy_assumption_flag,gross_margin_gaap_pct,revenue_bil_usd,milestone_stage,milestone_stage_norm,effective_die_area_mm2_proxy,area_factor,cfo_gm_signal_strength,ifs_profitability_timeline_score,margin_pressure_recovery_signal,academic_yield_maturity_signal,disclosure_confidence
2024-01,27.956204757879,proxy_model,1,41.0,12.7,1,0.125,219.43,1.2248155555555555,-0.064,-0.144,-0.096,0.0,0.37840000000000007
2024-02,28.602204757879008,proxy_model,1,41.0,12.7,1,0.125,218.71,1.2208155555555555,-0.064,-0.144,-0.096,0.0,0.37840000000000007
2024-03,29.248204757879,proxy_model,1,41.0,12.7,1,0.125,217.99,1.2168155555555555,-0.064,-0.144,-0.096,0.0,0.37840000000000007
2024-04,27.901288077564274,proxy_model,1,35.4,12.8,1,0.125,217.27,1.2137755555555556,-0.14,-0.22,-0.19,0.18,0.8350000000000002
2024-05,30.81603807756428,proxy_model,1,35.4,12.8,2,0.25,214.3,1.1972755555555556,-0.14,-0.22,-0.19,0.18,0.8350000000000001
2024-06,31.46203807756428,proxy_model,1,35.4,12.8,2,0.25,213.58,1.1932755555555556,-0.14,-0.22,-0.19,0.18,0.8350000000000001
2024-07,21.904003219417145,proxy_model,1,15.0,13.3,2,0.25,212.86,1.1964755555555555,-0.3,-0.28,-0.34,0.18,0.8460000000000001
2024-08,24.818753219417154,proxy_model,1,15.0,13.3,3,0.375,209.89,1.1799755555555553,-0.3,-0.28,-0.34,0.18,0.8460000000000001
2024-09,25.464753219417155,proxy_model,1,15.0,13.3,3,0.375,209.17,1.1759755555555553,-0.3,-0.28,-0.34,0.18,0.8460000000000001
2024-10,43.60009352036769,proxy_model,1,39.2,14.3,3,0.375,208.45,1.1528444515749416,0.06,-0.1,0.04,0.2725551990306911,0.8524076676252017
2024-11,44.246093520367694,proxy_model,1,39.2,14.3,3,0.375,207.73,1.1488444515749416,0.06,-0.1,0.04,0.2725551990306911,0.8524076676252017
2024-12,44.89209352036769,proxy_model,1,39.2,14.3,3,0.375,207.01,1.1448444515749419,0.06,-0.1,0.04,0.2725551990306911,0.8524076676252017
2025-01,39.909715781601165,proxy_model,1,36.9,12.7,3,0.375,206.29,1.1434844515749418,-0.04,-0.06,-0.02,0.2725551990306911,0.8524076676252017
2025-02,42.82446578160118,proxy_model,1,36.9,12.7,4,0.5,203.32,1.1269844515749416,-0.04,-0.06,-0.02,0.2725551990306911,0.8524076676252017
2025-03,43.47046578160117,proxy_model,1,36.9,12.7,4,0.5,202.6,1.1229844515749416,-0.04,-0.06,-0.02,0.2725551990306911,0.8524076676252017
2025-04,41.03100497073062,proxy_model,1,27.5,12.9,5,0.625,199.63,1.1160844515749417,-0.24,-0.16,-0.21,0.2725551990306911,0.8634076676252018
2025-05,44.591493982209755,proxy_model,1,27.5,12.9,6,0.75,196.66,1.0960265274645535,-0.24,-0.16,-0.21,0.4504514045500964,0.878212172621552
2025-06,45.237493982209756,proxy_model,1,27.5,12.9,6,0.75,195.94,1.0920265274645535,-0.24,-0.16,-0.21,0.4504514045500963,0.8782121726215519
2025-07,55.419015823924994,proxy_model,1,38.2,13.7,6,0.75,195.22,1.0700265274645535,0.1,0.08,0.14,0.4504514045500964,0.878212172621552
2025-08,56.06501582392501,proxy_model,1,38.2,13.7,6,0.75,194.5,1.0660265274645535,0.1,0.08,0.14,0.4504514045500963,0.8782121726215519
2025-09,56.71101582392501,proxy_model,1,38.2,13.7,6,0.75,193.78,1.0620265274645535,0.1,0.08,0.14,0.4504514045500963,0.8782121726215519
2025-10,58.18807036281757,proxy_model,1,36.1,14.3,6,0.75,193.06,1.0546665274645535,0.14,0.16,0.18,0.4504514045500964,0.883712172621552
2025-11,61.64651653771479,proxy_model,1,36.1,14.3,7,0.875,190.09,1.0352287434570435,0.14,0.16,0.18,0.5973406049256001,0.9046932539312887
2025-12,62.29251653771479,proxy_model,1,36.1,14.3,7,0.875,189.37,1.0312287434570435,0.14,0.16,0.18,0.5973406049255999,0.9046932539312886
2026-01,64.0,observed_anchor,0,36.1,14.3,8,1.0,186.4,1.0210772787823514,0.0378,0.0462,0.042,0.6004338386602097,0.42071154326633436
2026-02,68.5,observed_anchor,0,36.1,14.3,8,1.0,185.68,1.0170772787823514,0.0378,0.0462,0.042,0.6004338386602097,0.42071154326633436
